,name,area,aspect,centre,circularness,fill,number of children,rgb_area,rgb_aspect,rgb_centre,rgb_circularness,rgb_fill,rgb_average,median_height,mean_height
0,book,473.5,0.5458539118,"(88.0, 119.0)",0.3676054909,0.5718599034,0,5901.5,0.6791156435,"(65.5, 139.5)",0.6349498179,0.9379370629,"[63.244657942686764, 57.862183203577935, 65.002650323008112]",0.0742391646,0.0902355015
1,eraser,1317,0.4630157251,"(139.56521606445312, 90.78260803222656)",0.4959693508,0.974112426,1,4389.5,0.52111981,"(138.5, 79.96236419677734)",0.5321280229,0.9523757865,"[142.11727031802121, 140.61263250883391, 142.77407243816253]",0.1143464297,0.1271924526
2,ball,498.5,0.96,"(40.0, 59.36111068725586)",0.8601969831,0.8308333333,1,852,0.9393939394,"(40.5, 59.0)",0.8855410579,0.8328445748,"[176.99223085460599, 111.06437291897892, 184.56048834628191]",0.1569022536,0.1700549722
0,ball,525,0.9602596363,"(102.55839538574219, 27.222627639770508)",0.8610205683,0.8502024292,1,843.5,0.9375,"(102.15217590332031, 26.7608699798584)",0.8527246954,0.8786458333,"[182.17693169092945, 122.11534154535275, 192.24412094064951]",0.1654235423,0.1785238683
1,book,1172.5,0.8673017868,"(132.5142822265625, 144.0)",0.4315594659,0.4785714286,0,5795,0.6735143812,"(124.5, 128.5)",0.6205547963,0.930176565,"[63.249579549276824, 60.382441977800205, 65.196098217288935]",0.083649531,0.0868102908
2,eraser,1252.5,0.462962963,"(40.5, 84.0)",0.4790392215,0.9277777778,0,4339,0.5106192691,"(42.04493713378906, 94.47728729248047)",0.5313608573,0.9599557522,"[146.82774798927613, 143.51139410187668, 147.36193029490616]",0.1330117583,0.1286830008
0,book,1281,1,"(56.974239349365234, 147.15786743164062)",0.4418670707,0.5559895833,0,5732.5,0.6712674412,"(51.1175537109375, 131.4059600830078)",0.6159813419,0.9535096474,"[60.600611828687967, 55.253738953093134, 62.717709041468389]",0.0808687359,0.0852300525
1,torch,442.5,0.1269528829,"(66.5, 38.0)",0.1396987306,0.9133126935,0,1690,0.3051038371,"(93.0, 30.0)",0.153434649,0.4031007752,"[187.14324917672886, 188.27771679473108, 190.81668496158068]",0.0685405582,0.0891565457
2,eraser,1318.5,0.4850091424,"(138.0, 128.0)",0.4966730362,0.9093103448,1,4502,0.5281904084,"(134.0, 136.0)",0.5490519634,0.940267335,"[148.89900733707381, 146.2690979715149, 149.10530858869228]",0.1097570732,0.1233170554
0,torch,394.5,0.1157792112,"(58.5, 153.5)",0.1346621249,0.9174418605,0,1387.5,0.4688756317,"(59.98039245605469, 149.0196075439453)",0.3389503076,0.5835962145,"[166.05142083897158, 160.75169147496618, 167.46346414073071]",0.0372628123,0.0882821456
1,book,1777,0.6210931303,"(53.703704833984375, 73.0)",0.4560828877,0.6574176841,0,5743,0.6740657541,"(51.731781005859375, 69.8643798828125)",0.6164750709,0.9369442858,"[63.492704445198505, 60.638785205293516, 66.139803189684429]",0.0856738091,0.0874464661
2,eraser,1330,0.4720558175,"(125.0, 69.0)",0.467789354,0.916609235,1,4269,0.520218636,"(126.5, 79.0)",0.5106095845,0.9212343548,"[146.20122504537204, 144.28516333938293, 146.64450998185117]",0.0659837648,0.07231462
0,joined,,0.5627787797,,0.3679607377,0.5370020234,0,8094.5,0.5627787797,"(65.0, 95.5)",0.3679607377,0.5370020234,"[95.713238827486791, 96.176117251321486, 100.6452426717924]",0,0
1,eraser,1415.5,0.5,"(132.92193603515625, 86.07434844970703)",0.5357411878,0.9487265416,1,4490,0.5328764732,"(134.12832641601562, 95.8170394897461)",0.5502530022,0.9170751634,"[147.22597402597404, 146.6569264069264, 147.50649350649351]",0.0614704303,0.0691429153
0,book,674.5,0.4814814815,"(47.174312591552734, 69.36238861083984)",0.2896926185,0.4804131054,0,5785,0.6805024209,"(49.0, 71.0)",0.6185475712,0.9424126415,"[63.289469250210615, 60.284245998315079, 66.125358045492845]",0.1129269451,0.1045578793
1,eraser,1348.5,0.4908933494,"(101.03596496582031, 155.55567932128906)",0.5258629173,0.9287190083,2,4349.5,0.5266695481,"(92.5, 157.0)",0.5401281625,0.9605786219,"[142.01828724353257, 137.8534790365745, 141.73193577163246]",0.1144238561,0.115123637
2,cd,,0.962962963,,0.910395243,0.8214031339,0,2306.5,0.962962963,"(126.4449462890625, 73.5921630859375)",0.910395243,0.8214031339,"[186.20644891122279, 196.58961474036852, 196.28685092127304]",0,0
0,torch,373.5,0.1136804116,"(140.0, 73.0)",0.1216867782,0.8507972665,0,1355,0.4179104478,"(132.51174926757812, 72.65276336669922)",0.3527975622,0.7222814499,"[157.45738045738045, 155.72072072072072, 159.29521829521829]",0.061466828,0.0845195279
1,book,867,0.5507243017,"(51.0, 57.0)",0.2692419136,0.3962522852,0,5784,0.6805024209,"(49.0, 71.0)",0.6184406485,0.9422497353,"[62.224806201550386, 59.160768452982808, 64.993090663970335]",0.0909122229,0.0930045545
2,cd,,0.9814814815,,0.9156505457,0.8130677848,0,2327,0.9814814815,"(111.88636016845703, 156.11363220214844)",0.9156505457,0.8130677848,"[181.88741171582882, 183.29621936019942, 190.2471956792688]",0,0
0,ball,470.5,0.92,"(86.26966094970703, 126.11235809326172)",0.8857213864,0.8182608696,1,1160.5,0.6956521739,"(86.86734771728516, 126.60204315185547)",0.652063374,0.7883831522,"[188.70065252854812, 142.83768352365416, 194.98776508972267]",0.1435783058,0.1458844393
0,ball,470.5,0.92,"(86.26966094970703, 126.11235809326172)",0.8857213864,0.8182608696,1,1160.5,0.6956521739,"(86.86734771728516, 126.60204315185547)",0.652063374,0.7883831522,"[188.70065252854812, 142.83768352365416, 194.98776508972267]",0.1435783058,0.1458844393
0,tape,1898.5,0.9793926492,"(70.49817657470703, 55.70450210571289)",0.9248864736,0.8247176368,1,2429,0.9298245614,"(70.54141998291016, 55.35798645019531)",0.8804891589,0.8040383979,"[149.19553962564714, 145.17403424930308, 151.54878534448426]",0.2425012589,0.2120392621
0,box,2921,0.9601248981,"(39.06168746948242, 59.24675369262695)",0.675188489,0.978559464,2,3656.5,0.9690816121,"(41.0, 59.0)",0.6990356551,0.966688698,"[174.14719190843758, 104.32366249667288, 114.24194836305563]",0.3575801849,0.3069181442
1,torch,292.5,0.1307161623,"(128.0, 87.5)",0.158543851,0.9558823529,0,1640,0.1696872839,"(116.5, 67.0)",0.1267285643,0.5880243815,"[177.16366704161979, 179.87907761529809, 180.75815523059617]",0.0462716594,0.0779037178
2,eraser,1348.5,0.4334130096,"(78.0, 156.0)",0.4204096136,0.8473138549,1,4296.5,0.5328196765,"(73.0, 154.5)",0.5392264489,0.9593613933,"[143.81317689530687, 141.41944945848377, 144.41787003610108]",0.1229337752,0.1240383759
