,name,area,aspect,centre,circularness,fill,number of children,rgb_area,rgb_aspect,rgb_centre,rgb_circularness,rgb_fill,rgb_average,median_height,mean_height
4,torch,282.5,0.0793251171,"(23.0, 47.53174591064453)",0.0904419278,0.8968253968,0,1601.5,0.1375523526,"(23.5, 79.5)",0.1168531208,0.6780270957,"[168.11633237822349, 166.25730659025788, 170.6567335243553]",0.1139876321,0.1051180512
0,mug,1129.5,0.8792958236,"(34.5, 46.0)",0.6371786201,0.7245028865,1,1442.5,0.8915689366,"(36.59147644042969, 49.19542694091797)",0.6819558461,0.7374744376,"[184.89834983498349, 177.3841584158416, 187.19669966996699]",0.1206441373,0.1357979774
1,ball,499.5,0.9602596363,"(139.32644653320312, 71.71487426757812)",0.8766662829,0.826986755,1,848.5,0.96875,"(138.5, 70.1551742553711)",0.8694990308,0.8553427419,"[182.58908685968819, 120.84855233853007, 190.65924276169264]",0.1693203002,0.1688944101
2,tape,1916,0.9592530011,"(137.3104248046875, 150.93601989746094)",0.9121792466,0.8217885481,1,2628.5,0.8852459016,"(140.8943634033203, 149.1971893310547)",0.8291682681,0.7979659988,"[149.23388581952119, 141.65598526703499, 149.06924493554328]",0.2465901226,0.2242897153
3,banana,979.5,0.4231753421,"(78.5, 148.0)",0.2252359694,0.4185897436,1,1880,0.5166004076,"(80.5, 147.0)",0.3714008858,0.5729087308,"[195.25480283114257, 113.16835187057634, 181.3983822042467]",0.0606409758,0.0718565211
4,torch,408.5,0.1162476387,"(90.0, 59.0)",0.1405716114,0.95,0,1842.5,0.1382665797,"(65.0, 81.0)",0.1325088561,0.725965327,"[175.17617107942974, 170.88798370672097, 177.38340122199594]",0.0166151095,0.0775206909
0,mug,1159,0.8219548382,"(127.5, 160.0)",0.6135853488,0.6876297834,1,1197.5,0.68,"(124.57546997070312, 155.2311248779297)",0.5737888393,0.7044117647,"[195.55027711797308, 192.70863024544735, 197.63103721298495]",0.1239540949,0.1526018679
1,torch,439,0.1062867916,"(144.5, 70.5)",0.1262875753,0.9865168539,0,1730.5,0.2708693761,"(112.0, 72.0)",0.1325074773,0.3887017071,"[177.65628356605799, 175.46616541353384, 179.953276047261]",0.0055529084,0.0661450922
2,tape,1913.5,0.9603360465,"(43.6895751953125, 147.06398010253906)",0.9109893024,0.8287137289,1,2339.5,0.9814814815,"(44.37818145751953, 145.266845703125)",0.9417939411,0.8174353599,"[139.51798263745349, 126.85572550640761, 138.97230260438198]",0.2292448878,0.2068862617
3,banana,1020,0.4163574427,"(43.5, 34.5)",0.24661932,0.4636363636,1,1820,0.4873146846,"(45.40945053100586, 33.80315017700195)",0.3588016865,0.6074766355,"[206.69880145909329, 129.54768108389786, 193.70974465867639]",0.064677678,0.0721391961
