,name,area,aspect,fill,circularness,number of children,rgb_area,rgb_aspect,rgb_fill,rgb_circularness,rgb_average,median_height,mean_height
0,ball,512.0,1.0,0.88275862069,0.864574438632,1,848.5,0.96875,0.855342741935,0.895821509074,"[189.01670378619153, 127.66703786191536, 197.52449888641425]",0.197821348906,0.198681622744
1,tape measure,671.5,0.965888801297,0.81790499391,0.821208782204,1,1662.0,0.534569164973,0.543137254902,0.310599418459,"[176.33069082672708, 162.85220838052095, 161.76330690826728]",0.130217179656,0.119900107384
2,eraser,1532.0,0.717657773412,0.697632058288,0.538684245558,1,4709.5,0.532946367132,0.947680853205,0.566343244932,"[153.42780082987551, 152.58112033195022, 153.65477178423237]",0.0821295529604,0.0891329050064
3,cd,,0.981818181818,0.815824915825,0.916277788116,0,2423.0,0.981818181818,0.815824915825,0.916277788116,"[199.92814371257484, 207.52734530938125, 207.45349301397206]",0.0,0.0
